timestamp,product_name,product_type,available_items,cheapest_1,cheapest_2,cheapest_3,avg_robust,avg_market,avg_robust_shipping,avg_market_shipping,cheapest_ship_1,cheapest_ship_2,cheapest_ship_3,cheapest_ship_4,cheapest_ship_5,cheapest_ship_6,cheapest_ship_7,cheapest_ship_8,cheapest_ship_9,cheapest_ship_10,cheapest_ship_11,cheapest_ship_12,cheapest_ship_13,cheapest_ship_14,cheapest_ship_15,cheapest_ship_16,cheapest_ship_17,cheapest_ship_18,cheapest_ship_19,cheapest_ship_20,cheapest_ship_21,cheapest_ship_22,cheapest_ship_23,cheapest_ship_24,cheapest_ship_25,cheapest_ship_26,cheapest_ship_27,cheapest_ship_28,cheapest_ship_29,cheapest_ship_30,cheapest_item_1,cheapest_item_2,cheapest_item_3,cheapest_item_4,cheapest_item_5,cheapest_item_6,cheapest_item_7,cheapest_item_8,cheapest_item_9,cheapest_item_10,cheapest_item_11,cheapest_item_12,cheapest_item_13,cheapest_item_14,cheapest_item_15,cheapest_item_16,cheapest_item_17,cheapest_item_18,cheapest_item_19,cheapest_item_20,cheapest_item_21,cheapest_item_22,cheapest_item_23,cheapest_item_24,cheapest_item_25,cheapest_item_26,cheapest_item_27,cheapest_item_28,cheapest_item_29,cheapest_item_30
46264,8409722222,Pokemon Black Bolt ETB (Eng),single,553,127.18,132.18,132.18,126.5,128.05,141.61,142.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46264,8409722222,Pokemon Ascended Heroes ETB (Eng),single,1418,172.18,175.92,176.14,162.24,162.46,178.34,179.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46264,8409722222,Pokemon Ascended Heroes ETB Case (Eng),case,133,1746.12,1841.45,1841.45,1785.5,1784.59,1841.7,1843.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46264,8409722222,Pokemon 30th Celebration ETB (Eng),single,455,189.78,189.8,192.89,186.41,187.81,199.11,200.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46264,8409722222,Pokemon 30th Celebration Booster Bundle (Eng),single,353,102.48,103.5,104.73,97.25,97.46,108.47,110.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46264,8409722222,Pokemon 30th Celebration Umbreon UPC (Eng),single,50,617.13,617.9,618.93,641.14,630.73,658.68,648.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46264,8409722222,Pokemon 30th Celebration Espeon UPC (Eng),single,83,598.13,598.93,599.94,625.79,614.34,644.67,633.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46265,6305555556,Pokemon Destined Rivals Booster Display (Eng),single,1366,367.4,367.5,369.39,349.0,348.73,373.17,373.24,367.4,367.5,369.39,372.5,373.0,373.9,373.9,373.9,374.39,374.39,374.39,374.55,376.47,376.47,376.47,377.19,377.19,378.9,379.99,382.42,382.42,383.5,383.55,383.79,383.9,384.24,384.9,386.06,386.07,386.47,344.0,344.9,345.0,349.0,349.0,349.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,355.0,355.0,360.0,360.0,361.0,364.0,365.0,365.0,365.0,365.0,365.0,365.0,368.99,369.0,369.0
46265,6305555556,Pokemon Destined Rivals Booster Display Case (Eng),case,182,2250.73,2289.99,2290.0,2195.0,2214.8,2293.11,2297.6,2250.73,2289.99,2290.0,2292.45,2300.0,2300.0,2300.0,2310.22,2311.17,2331.45,2342.45,2350.0,2400.0,2400.0,2418.48,2488.89,2500.0,2517.48,2518.47,2553.4,2553.4,2553.4,2599.0,2599.89,2602.4,2641.45,2642.45,2692.45,2749.0,2761.16,2129.0,2189.99,2190.0,2200.0,2200.0,2200.0,2250.0,2250.0,2250.0,2289.0,2300.0,2300.0,2300.0,2300.0,2400.0,2400.0,2450.0,2450.0,2450.0,2479.0,2499.0,2499.0,2499.0,2499.89,2499.99,2599.0,2599.0,2600.0,2645.0,2650.0
46265,6305555556,Pokemon Black Bolt ETB (Eng),single,553,132.18,132.18,139.19,127.8,128.82,141.77,142.72,132.18,132.18,139.19,139.55,140.19,141.5,142.17,142.18,142.19,147.19,148.0,148.5,148.55,148.56,148.6,149.42,151.42,151.5,151.59,152.18,152.19,152.6,152.98,153.0,153.59,153.6,153.6,155.99,156.14,156.44,120.0,120.0,124.99,124.99,125.0,125.95,127.5,130.0,132.0,132.0,132.99,133.0,134.0,134.9,134.95,134.96,134.98,134.99,135.0,135.0,137.5,137.99,138.99,139.0,139.9,139.99,139.99,140.0,140.0,140.0
